TaskID,Number of instructions (109 instructions),Memory required (MB),Input file size (MB),Output file size (MB)
Task_1,92,143,65,32
Task_2,17,184,77,89
Task_3,7,154,28,92
Task_4,40,144,45,38
Task_5,98,83,67,82
Task_6,27,64,13,18
Task_7,37,112,34,70
Task_8,33,87,85,62
Task_9,40,110,62,93
Task_10,39,96,35,44
Task_11,83,64,84,57
Task_12,85,58,86,37
Task_13,27,68,18,94
Task_14,6,128,51,14
Task_15,54,91,23,65
Task_16,82,77,21,71
Task_17,55,155,79,57
Task_18,74,60,58,52
Task_19,27,173,73,96
Task_20,62,83,81,87
Task_21,34,65,96,77
Task_22,68,68,76,84
Task_23,27,59,42,98
Task_24,70,110,64,12
Task_25,84,143,20,38
Task_26,52,154,28,11
Task_27,18,57,94,46
Task_28,3,78,35,34
Task_29,86,113,55,43
Task_30,31,134,70,80
Task_31,99,76,96,18
Task_32,97,59,39,74
Task_33,29,200,42,53
Task_34,84,141,94,22
Task_35,97,106,40,83
Task_36,90,63,81,46
Task_37,49,145,68,19
Task_38,80,170,93,63
Task_39,35,152,75,68
Task_40,28,121,16,91
Task_41,34,160,100,42
Task_42,7,171,35,30
Task_43,62,136,95,50
Task_44,50,93,18,81
Task_45,42,199,50,21
Task_46,34,95,91,89
Task_47,87,199,39,40
Task_48,67,73,29,42
Task_49,68,125,54,44
Task_50,9,132,20,53
Task_51,86,152,65,63
Task_52,23,169,63,33
Task_53,8,56,33,73
Task_54,94,200,90,54
Task_55,97,186,50,78
Task_56,26,91,18,94
Task_57,80,96,80,31
Task_58,16,119,29,36
Task_59,89,134,60,53
Task_60,60,114,75,16
Task_61,49,116,88,45
Task_62,59,153,50,78
Task_63,44,192,36,53
Task_64,98,127,54,36
Task_65,36,74,41,94
Task_66,54,170,64,27
Task_67,28,90,21,89
Task_68,23,99,57,66
Task_69,97,95,87,66
Task_70,53,193,73,29
Task_71,61,161,82,11
Task_72,70,120,83,36
Task_73,35,200,10,46
Task_74,71,127,29,69
Task_75,42,112,50,31
Task_76,45,143,60,28
Task_77,74,69,42,83
Task_78,59,59,20,61
Task_79,31,57,99,81
Task_80,1,69,11,93
Task_81,98,158,16,40
Task_82,44,184,36,87
Task_83,36,159,42,91
Task_84,27,76,98,31
Task_85,84,158,64,57
Task_86,46,90,19,77
Task_87,16,109,43,10
Task_88,66,197,29,27
Task_89,55,97,37,83
Task_90,45,131,24,50
Task_91,34,148,96,11
Task_92,1,55,89,32
Task_93,59,92,86,78
Task_94,53,62,85,85
Task_95,49,112,58,98
Task_96,81,160,18,94
Task_97,60,172,84,29
Task_98,36,186,24,57
Task_99,48,84,95,21
Task_100,12,162,97,31
Task_101,90,187,67,54
Task_102,98,162,71,23
Task_103,67,190,26,46
Task_104,27,192,42,70
Task_105,25,127,93,46
Task_106,70,146,79,24
Task_107,74,185,81,98
Task_108,6,71,67,24
Task_109,72,67,45,47
Task_110,96,101,95,28
Task_111,94,89,70,71
Task_112,73,74,28,69
Task_113,53,52,10,25
Task_114,29,190,16,95
Task_115,45,155,96,17
Task_116,84,124,52,80
Task_117,24,184,32,67
Task_118,74,146,93,33
Task_119,37,187,25,52
Task_120,83,141,92,12
Task_121,23,178,86,21
Task_122,33,193,15,96
Task_123,53,95,99,68
Task_124,53,113,71,26
Task_125,26,111,39,51
Task_126,50,174,65,11
Task_127,36,113,56,90
Task_128,51,122,27,64
Task_129,63,88,63,28
Task_130,83,177,92,77
Task_131,34,89,10,83
Task_132,85,119,84,99
Task_133,96,164,14,31
Task_134,42,128,76,70
Task_135,8,110,57,74
Task_136,12,155,70,25
Task_137,19,153,42,83
Task_138,81,175,77,57
Task_139,69,166,25,91
Task_140,82,121,100,99
Task_141,28,111,96,22
Task_142,4,172,63,79
Task_143,69,120,18,63
Task_144,14,68,24,96
Task_145,65,153,46,92
Task_146,39,150,27,29
Task_147,6,106,29,57
Task_148,55,165,100,26
Task_149,81,87,20,13
Task_150,76,161,47,19
Task_151,83,69,20,17
Task_152,89,175,26,93
Task_153,88,153,17,99
Task_154,69,173,34,84
Task_155,88,69,46,100
Task_156,22,63,11,99
Task_157,18,198,44,43
Task_158,19,114,78,69
Task_159,92,172,43,62
Task_160,77,141,15,95
Task_161,59,129,34,26
Task_162,25,82,31,31
Task_163,2,129,59,27
Task_164,93,155,76,38
Task_165,27,79,44,92
Task_166,100,174,94,77
Task_167,69,123,32,96
Task_168,36,98,64,78
Task_169,84,152,31,28
Task_170,16,154,65,63
Task_171,98,168,93,16
Task_172,67,91,18,94
Task_173,64,190,32,78
Task_174,78,121,15,53
Task_175,7,134,97,14
Task_176,41,200,97,15
Task_177,13,92,88,19
Task_178,66,155,70,78
Task_179,59,91,70,60
Task_180,8,70,65,94
Task_181,32,114,99,14
Task_182,53,188,38,83
Task_183,38,160,91,96
Task_184,63,152,83,72
Task_185,93,102,13,50
Task_186,77,73,22,85
Task_187,14,89,62,39
Task_188,93,128,88,13
Task_189,66,135,71,86
Task_190,6,63,30,45
Task_191,41,70,11,43
Task_192,34,154,67,55
Task_193,70,61,60,29
Task_194,69,108,31,84
Task_195,18,96,69,31
Task_196,62,187,89,34
Task_197,25,174,97,27
Task_198,6,184,31,40
Task_199,90,54,53,83
Task_200,58,166,18,61
Task_201,19,82,87,90
Task_202,58,153,79,71
Task_203,14,135,32,55
Task_204,60,67,82,81
Task_205,73,178,36,57
Task_206,2,174,40,22
Task_207,1,181,31,78
Task_208,73,157,91,88
Task_209,21,175,96,32
Task_210,73,162,69,60
Task_211,15,83,38,29
Task_212,85,132,46,79
Task_213,31,177,29,52
Task_214,78,79,34,14
Task_215,15,68,25,63
Task_216,13,177,60,45
Task_217,80,173,32,77
Task_218,3,151,69,31
Task_219,65,85,27,64
Task_220,56,154,40,14
Task_221,68,91,18,92
Task_222,32,193,95,80
Task_223,32,160,86,89
Task_224,93,83,35,41
Task_225,43,95,36,77
Task_226,49,189,59,95
Task_227,74,76,63,38
Task_228,29,91,55,66
Task_229,32,62,74,48
Task_230,46,141,83,65
Task_231,79,194,76,48
Task_232,51,140,60,21
Task_233,94,111,35,81
Task_234,60,127,17,98
Task_235,4,166,14,35
Task_236,48,179,74,25
Task_237,35,95,17,44
Task_238,70,187,69,31
Task_239,48,198,99,38
Task_240,60,179,100,50
