TaskID,Number of instructions (109 instructions),Memory required (MB),Input file size (MB),Output file size (MB)
Task_1,37,125,59,43
Task_2,21,181,68,21
Task_3,71,117,88,84
Task_4,38,167,83,86
Task_5,5,191,95,14
Task_6,64,161,55,45
Task_7,100,181,32,98
Task_8,98,51,65,10
Task_9,62,87,19,51
Task_10,56,102,77,94
Task_11,27,196,66,84
Task_12,85,179,81,17
Task_13,18,70,71,95
Task_14,69,182,25,97
Task_15,92,124,17,60
Task_16,9,119,59,11
Task_17,64,169,80,65
Task_18,3,97,62,71
Task_19,31,159,82,11
Task_20,82,74,97,37
Task_21,35,108,54,53
Task_22,79,127,89,22
Task_23,35,171,17,72
Task_24,36,155,48,87
Task_25,33,167,31,59
Task_26,78,86,82,30
Task_27,76,127,82,82
Task_28,95,76,95,76
Task_29,69,93,93,24
Task_30,29,122,56,11
Task_31,4,132,61,17
Task_32,66,190,35,11
Task_33,14,56,24,75
Task_34,39,95,98,29
Task_35,79,76,16,35
Task_36,55,189,48,41
Task_37,21,72,20,52
Task_38,98,80,35,27
Task_39,59,191,95,40
Task_40,6,161,88,49
Task_41,91,65,42,70
Task_42,34,170,54,58
Task_43,43,149,36,64
Task_44,70,97,20,75
Task_45,66,142,16,50
Task_46,39,54,54,68
Task_47,75,152,21,17
Task_48,82,102,49,32
Task_49,1,76,66,74
Task_50,51,107,64,86
Task_51,93,163,83,20
Task_52,43,186,24,20
Task_53,34,174,38,38
Task_54,91,164,94,32
Task_55,59,87,14,11
Task_56,78,91,53,64
Task_57,43,106,65,13
Task_58,82,167,96,68
Task_59,89,100,41,41
Task_60,47,115,64,62
Task_61,84,129,78,98
Task_62,76,51,22,84
Task_63,81,51,72,56
Task_64,87,102,76,19
Task_65,100,183,97,16
Task_66,10,134,85,51
Task_67,93,70,16,56
Task_68,98,95,43,22
Task_69,87,84,69,92
Task_70,71,95,75,56
Task_71,5,96,11,80
Task_72,73,192,54,64
Task_73,44,193,82,57
Task_74,41,166,89,23
Task_75,32,140,75,10
Task_76,4,164,96,94
Task_77,79,106,28,75
Task_78,87,178,60,56
Task_79,7,161,12,46
Task_80,45,122,30,64
Task_81,59,106,41,59
Task_82,86,56,28,50
Task_83,59,139,26,81
Task_84,12,56,67,67
Task_85,13,191,22,17
Task_86,20,175,72,90
Task_87,34,79,16,94
Task_88,90,100,20,83
Task_89,100,97,78,27
Task_90,52,135,74,23
Task_91,81,190,78,100
Task_92,43,168,46,56
Task_93,89,190,56,48
Task_94,77,176,11,43
Task_95,55,200,50,71
Task_96,65,74,78,71
Task_97,67,155,21,89
Task_98,68,140,98,27
Task_99,45,119,96,70
Task_100,80,86,26,32
Task_101,54,66,60,19
Task_102,32,78,98,95
Task_103,91,99,92,52
Task_104,44,73,33,67
Task_105,76,90,40,39
Task_106,3,83,30,19
Task_107,100,75,48,53
Task_108,13,124,31,57
Task_109,97,190,38,100
Task_110,24,163,31,71
Task_111,1,166,35,24
Task_112,28,101,65,95
Task_113,53,158,76,57
Task_114,58,58,81,14
Task_115,15,197,48,33
Task_116,50,183,38,26
Task_117,10,147,17,99
Task_118,6,120,27,94
Task_119,58,100,14,33
Task_120,21,116,21,35
