TaskID,Number of instructions (109 instructions),Memory required (MB),Input file size (MB),Output file size (MB)
Task_1,80,55,88,30
Task_2,28,138,21,22
Task_3,60,103,21,16
Task_4,5,92,88,23
Task_5,54,57,96,19
Task_6,2,165,33,95
Task_7,40,122,80,45
Task_8,81,107,28,82
Task_9,50,74,93,16
Task_10,53,99,81,72
Task_11,37,130,41,57
Task_12,59,119,90,85
Task_13,65,64,50,62
Task_14,28,199,50,16
Task_15,68,187,57,27
Task_16,2,198,53,24
Task_17,92,70,21,100
Task_18,42,101,91,14
Task_19,11,149,72,68
Task_20,81,85,49,43
Task_21,69,125,71,12
Task_22,51,121,36,88
Task_23,2,179,28,30
Task_24,76,172,60,97
Task_25,33,180,24,15
Task_26,64,92,96,79
Task_27,28,125,72,83
Task_28,18,125,91,49
Task_29,53,190,41,49
Task_30,96,139,91,27
Task_31,39,145,50,45
Task_32,63,102,99,28
Task_33,18,168,83,58
Task_34,86,56,37,52
Task_35,60,134,22,39
Task_36,28,149,18,66
Task_37,90,145,46,79
Task_38,6,175,44,63
Task_39,19,66,86,49
Task_40,93,64,59,15
Task_41,22,182,27,35
Task_42,74,67,18,31
Task_43,59,145,24,95
Task_44,64,77,89,24
Task_45,24,179,67,73
Task_46,78,163,32,72
Task_47,65,184,100,72
Task_48,100,126,18,11
Task_49,76,169,31,70
Task_50,12,116,18,94
Task_51,61,147,49,62
Task_52,61,100,75,43
Task_53,34,83,50,66
Task_54,6,184,55,19
Task_55,12,173,64,23
Task_56,30,73,71,23
Task_57,62,50,26,23
Task_58,82,101,52,50
Task_59,18,194,86,78
Task_60,72,177,84,38
Task_61,1,132,99,30
Task_62,77,107,96,58
Task_63,39,150,75,69
Task_64,73,148,11,65
Task_65,71,189,58,16
Task_66,80,89,95,88
Task_67,86,72,49,64
Task_68,52,163,66,22
Task_69,12,153,100,39
Task_70,76,174,10,53
Task_71,31,200,19,61
Task_72,37,106,42,52
Task_73,40,156,82,71
Task_74,94,122,31,29
Task_75,83,117,47,97
Task_76,7,181,28,91
Task_77,59,124,67,82
Task_78,62,131,46,56
Task_79,14,158,26,96
Task_80,93,152,47,48
