NodeID,CPU rate (MIPS),CPU usage cost,Memory usage cost,Bandwidth usage cost
Node_1,4623,0.7034,0.02944,0.0931
Node_2,3399,0.739,0.04561,0.0856
Node_3,4234,0.8046,0.02733,0.0727
Node_4,919,0.3774,0.02617,0.0123
Node_5,1135,0.3729,0.02757,0.0154
Node_6,1114,0.1383,0.01068,0.0104
Node_7,727,0.1834,0.0195,0.0194
Node_8,730,0.3957,0.02464,0.015
Node_9,563,0.1563,0.01228,0.0188
Node_10,897,0.2201,0.02396,0.0161
Node_11,553,0.2087,0.01259,0.0163
Node_12,1037,0.1691,0.01044,0.0144
Node_13,1228,0.2918,0.01344,0.0159
