TaskID,Number of instructions (109 instructions),Memory required (MB),Input file size (MB),Output file size (MB)
Task_1,12,119,24,65
Task_2,9,167,81,33
Task_3,93,193,44,65
Task_4,53,118,46,20
Task_5,93,71,36,100
Task_6,100,179,29,74
Task_7,16,140,49,66
Task_8,79,108,57,66
Task_9,61,153,59,71
Task_10,13,65,28,63
Task_11,26,158,31,52
Task_12,25,145,34,37
Task_13,69,178,34,16
Task_14,72,51,41,18
Task_15,33,140,43,53
Task_16,56,111,44,20
Task_17,78,132,29,96
Task_18,3,131,12,71
Task_19,38,182,26,45
Task_20,24,193,59,72
Task_21,80,96,45,33
Task_22,81,90,26,21
Task_23,66,53,71,66
Task_24,66,162,84,41
Task_25,12,110,99,95
Task_26,78,135,19,96
Task_27,54,83,37,56
Task_28,96,170,64,48
Task_29,2,65,69,37
Task_30,24,107,33,61
Task_31,29,149,42,41
Task_32,65,146,22,94
Task_33,56,126,74,81
Task_34,9,125,64,62
Task_35,58,70,20,92
Task_36,2,97,92,93
Task_37,8,82,95,45
Task_38,22,142,10,72
Task_39,22,136,43,15
Task_40,96,77,98,36
Task_41,51,86,66,13
Task_42,28,109,58,32
Task_43,39,65,82,86
Task_44,52,118,77,67
Task_45,8,166,46,29
Task_46,24,155,83,94
Task_47,27,155,29,20
Task_48,91,95,71,10
Task_49,82,82,36,76
Task_50,99,179,64,26
Task_51,3,114,98,27
Task_52,83,170,27,88
Task_53,11,62,41,64
Task_54,56,65,14,92
Task_55,81,150,38,99
Task_56,4,57,87,95
Task_57,47,92,77,95
Task_58,87,91,32,62
Task_59,34,75,46,11
Task_60,100,80,48,19
Task_61,82,78,44,69
Task_62,53,146,48,50
Task_63,60,67,78,29
Task_64,47,57,99,38
Task_65,35,107,44,65
Task_66,26,80,33,48
Task_67,33,169,64,33
Task_68,71,196,55,88
Task_69,19,148,21,58
Task_70,4,173,59,18
Task_71,11,183,67,87
Task_72,62,124,14,21
Task_73,92,54,59,51
Task_74,56,186,59,82
Task_75,27,135,28,53
Task_76,81,110,44,56
Task_77,13,120,58,24
Task_78,93,104,93,58
Task_79,46,140,66,59
Task_80,54,100,51,92
Task_81,62,146,33,100
Task_82,92,93,61,24
Task_83,81,135,82,77
Task_84,82,140,85,96
Task_85,64,92,20,17
Task_86,57,180,16,93
Task_87,44,125,21,30
Task_88,88,74,87,66
Task_89,61,136,32,93
Task_90,29,192,72,37
Task_91,37,66,93,59
Task_92,64,60,74,71
Task_93,10,192,17,21
Task_94,71,132,91,48
Task_95,23,176,39,52
Task_96,27,196,50,91
Task_97,12,70,77,14
Task_98,7,90,44,28
Task_99,22,185,23,28
Task_100,92,141,59,10
Task_101,39,182,21,73
Task_102,47,60,40,59
Task_103,59,81,85,13
Task_104,25,159,91,14
Task_105,24,112,48,60
Task_106,21,162,38,88
Task_107,97,153,53,49
Task_108,24,195,38,88
Task_109,82,62,28,31
Task_110,84,106,24,74
Task_111,40,129,33,10
Task_112,88,77,50,59
Task_113,12,196,54,51
Task_114,58,179,58,44
Task_115,29,64,37,70
Task_116,18,53,91,95
Task_117,58,56,77,50
Task_118,28,190,81,53
Task_119,17,141,89,22
Task_120,6,56,31,37
Task_121,2,122,39,80
Task_122,71,62,37,11
Task_123,7,163,45,73
Task_124,42,189,79,29
Task_125,20,103,71,16
Task_126,85,141,60,41
Task_127,44,105,41,48
Task_128,34,177,14,77
Task_129,11,123,71,12
Task_130,60,136,22,97
Task_131,25,147,48,96
Task_132,83,188,12,73
Task_133,65,74,38,88
Task_134,88,89,22,33
Task_135,35,91,36,14
Task_136,1,162,62,25
Task_137,82,80,55,24
Task_138,9,100,27,85
Task_139,56,105,60,14
Task_140,83,165,88,83
Task_141,36,105,75,39
Task_142,71,103,28,67
Task_143,45,87,96,66
Task_144,18,142,12,28
Task_145,58,128,71,49
Task_146,52,169,53,59
Task_147,61,58,76,64
Task_148,44,112,61,28
Task_149,92,119,63,61
Task_150,16,92,20,40
Task_151,74,198,76,73
Task_152,51,193,41,92
Task_153,81,72,33,18
Task_154,91,66,76,95
Task_155,85,104,39,61
Task_156,31,92,43,20
Task_157,95,55,64,30
Task_158,63,183,55,88
Task_159,61,109,68,65
Task_160,42,80,34,62
